FID,meetwaarde_identificatie,monprog_naam,meetpunt_identificatie,geometriepunt_x,geometriepunt_y,monster_identificatie,compartiment_code,bemonsteringsmethode_code,veldapparaat_code,monsternemingsdatum,monsternemingstijd,monster_tijdutcoffset,referentiehorizontaal_code,grootheid_code,parameter_groep,parameter_omschrijving,eenheid_code,hoedanigheid_code,waardebewerkingsmethode_code,waardebepalingsmethode_code,begindatum,begintijd,meetwaarde_tijdutcoffset,resultaatdatum,resultaatutcoffset,limietsymbool,numeriekewaarde,alfanumeriekewaarde,kwaliteitsoordeel_code,the_geom
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_4663,RWS2001_OESTGDN20_4301,RWS-boxcore historie,COESTERGR,4.498629,54.265946,RWS2001_OESTGDN20,BS,"Essink, 1991",Box-corer,15-03-01,14:20:00,1,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",15-03-01,14:20:00,1,15-03-01,1,,0.55677,,0,POINT (4.498629 54.26594603664241)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_4683,RWS2001_OESTGDN21_4332,RWS-boxcore historie,OESTERGR_OV,4.998618,54.99931,RWS2001_OESTGDN21,BS,"Essink, 1991",Box-corer,06-03-01,20:44:00,1,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",06-03-01,20:44:00,1,06-03-01,1,,0.68369,,0,POINT (4.998618 54.999310035691444)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_470a,RWS2001_ROTTMPT50_4466,RWS-boxcore historie,OFFSHORE_OV,6.308686,53.953177,RWS2001_ROTTMPT50,BS,"Essink, 1991",Box-corer,06-03-01,08:15:00,1,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",06-03-01,08:15:00,1,06-03-01,1,,13.41492,,0,POINT (6.308686 53.95317703703138)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_4766,RWS2001_TERSLG235_4556,RWS-boxcore historie,DOGGBANK,3.156064,55.171517,RWS2001_TERSLG235,BS,"Essink, 1991",Box-corer,14-03-01,12:00:00,1,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",14-03-01,12:00:00,1,14-03-01,1,,2.07308,,0,POINT (3.1560640000000006 55.17151703546057)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_4784,RWS2001_TERSLG30_4586,RWS-boxcore historie,OFFSHORE_OV,4.939617,53.612726,RWS2001_TERSLG30,BS,"Essink, 1991",Box-corer,08-03-01,13:20:00,1,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",08-03-01,13:20:00,1,08-03-01,1,,0.49077,,0,POINT (4.939617 53.61272603744301)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_4875,RWS2001_WALCRN30_4846,RWS-boxcore historie,OFFSHORE_OV,3.112283,51.717515,RWS2001_WALCRN30,BS,"Essink, 1991",Box-corer,01-03-01,11:25:00,1,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",01-03-01,11:25:00,1,01-03-01,1,,0.26231,,0,POINT (3.1122829999999997 51.71751503949225)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_48ce,RWS2002_BREEVTN04_2686,RWS-boxcore historie,OFFSHORE_OV,4.304772,53.098961,RWS2002_BREEVTN04,BS,"Essink, 1991",Box-corer,20-03-02,17:17:00,1,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",20-03-02,17:17:00,1,20-03-02,1,,0.03046,,0,POINT (4.304772000000001 53.09896103804002)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_48e7,RWS2002_BREEVTN05_2711,RWS-boxcore historie,OFFSHORE_OV,4.006989,53.024233,RWS2002_BREEVTN05,BS,"Essink, 1991",Box-corer,20-03-02,15:50:00,1,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",20-03-02,15:50:00,1,20-03-02,1,,0.10154,,0,POINT (4.006989 53.024233038124386)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_4917,RWS2002_BREEVTN07_2759,RWS-boxcore historie,OFFSHORE_OV,3.840326,52.760333,RWS2002_BREEVTN07,BS,"Essink, 1991",Box-corer,20-03-02,13:15:00,1,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",20-03-02,13:15:00,1,20-03-02,1,,0.00338,,0,POINT (3.8403260000000006 52.760333038417116)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_4943,RWS2002_BREEVTN09_2803,RWS-boxcore historie,OFFSHORE_OV,3.390306,53.064505,RWS2002_BREEVTN09,BS,"Essink, 1991",Box-corer,12-03-02,15:25:00,1,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",12-03-02,15:25:00,1,12-03-02,1,,0.00508,,0,POINT (3.3903059999999994 53.064505038079)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_49f0,RWS2002_BREEVTN20_2975,RWS-boxcore historie,OFFSHORE_OV,4.162567,52.384769,RWS2002_BREEVTN20,BS,"Essink, 1991",Box-corer,20-03-02,09:30:00,1,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",20-03-02,09:30:00,1,20-03-02,1,,0.066,,0,POINT (4.162567000000001 52.384769038819556)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_4a23,RWS2002_BREEVTN25_3023,RWS-boxcore historie,OFFSHORE_OV,2.878662,51.876962,RWS2002_BREEVTN25,BS,"Essink, 1991",Box-corer,19-03-02,13:32:00,1,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",19-03-02,13:32:00,1,19-03-02,1,,0.00169,,0,POINT (2.878662 51.87696203933653)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_4a3b,RWS2002_BREEVTN26_3047,RWS-boxcore historie,OESTERGR_OV,2.998616,53.499237,RWS2002_BREEVTN26,BS,"Essink, 1991",Box-corer,12-03-02,20:35:00,1,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",12-03-02,20:35:00,1,12-03-02,1,,1.33354,,0,POINT (2.9986159999999997 53.49923703757742)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_4a92,RWS2002_DOGGBK02_3134,RWS-boxcore historie,DOGGBANK,3.640244,55.165967,RWS2002_DOGGBK02,BS,"Essink, 1991",Box-corer,11-04-02,06:05:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",11-04-02,06:05:00,2,11-04-02,2,,0.06465,,0,POINT (3.6402440000000005 55.16596703546806)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_4cda,RWS2002_FRIESFT13_3714,RWS-boxcore historie,OFFSHORE_OV,5.982014,53.857615,RWS2002_FRIESFT13,BS,"Essink, 1991",Box-corer,03-04-02,19:10:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",03-04-02,19:10:00,2,03-04-02,2,,1.28108,,0,POINT (5.9820139999999995 53.85761503714819)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_4d1d,RWS2002_FRIESFT15_3781,RWS-boxcore historie,FRIESEFR,4.373651,53.482585,RWS2002_FRIESFT15,BS,"Essink, 1991",Box-corer,20-03-02,20:35:00,1,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",20-03-02,20:35:00,1,20-03-02,1,,0.07446,,0,POINT (4.373651000000001 53.48258503759703)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_4d7a,RWS2002_HOLLSKT02_3874,RWS-boxcore historie,NZKUSTZONE,4.665344,52.832567,RWS2002_HOLLSKT02,BS,"Essink, 1991",Box-corer,02-04-02,16:10:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",02-04-02,16:10:00,2,02-04-02,2,,0.02031,,0,POINT (4.665343999999999 52.83256703833777)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_4dbc,RWS2002_NOORDWK10_3937,RWS-boxcore historie,KUSTZONE_OV,4.301184,52.301435,RWS2002_NOORDWK10,BS,"Essink, 1991",Box-corer,14-03-02,16:30:00,1,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",14-03-02,16:30:00,1,14-03-02,1,,0.06092,,0,POINT (4.301184 52.30143503890655)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_4dfd,RWS2002_NOORDWK50_4002,RWS-boxcore historie,OFFSHORE_OV,3.785333,52.480046,RWS2002_NOORDWK50,BS,"Essink, 1991",Box-corer,12-03-02,08:30:00,1,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",12-03-02,08:30:00,1,12-03-02,1,,0.00338,,0,POINT (3.785333000000001 52.48004603871905)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_4e86,RWS2002_OESTGDN04_4134,RWS-boxcore historie,OESTERGR_OV,4.378592,55.30598,RWS2002_OESTGDN04,BS,"Essink, 1991",Box-corer,10-04-02,12:20:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",10-04-02,12:20:00,2,10-04-02,2,,1.42154,,0,POINT (4.378592 55.30598003527838)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_4f32,RWS2002_OESTGDN09_4301,RWS-boxcore historie,OESTERGR_OV,4.7403,54.332617,RWS2002_OESTGDN09,BS,"Essink, 1991",Box-corer,09-04-02,17:10:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",09-04-02,17:10:00,2,09-04-02,2,,0.18785,,0,POINT (4.7403 54.33261703655817)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_4feb,RWS2002_OESTGDN15_4482,RWS-boxcore historie,OESTERGR_OV,3.640273,54.307604,RWS2002_OESTGDN15,BS,"Essink, 1991",Box-corer,26-03-02,12:15:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",26-03-02,12:15:00,2,26-03-02,2,,1.408,,0,POINT (3.640273000000001 54.30760403658983)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_50f2,RWS2002_OESTGDN23_4738,RWS-boxcore historie,DOGGBANK,3.291912,54.860952,RWS2002_OESTGDN23,BS,"Essink, 1991",Box-corer,27-03-02,10:35:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",27-03-02,10:35:00,2,27-03-02,2,,0.65831,,0,POINT (3.2919120000000004 54.860952035874895)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_5147,RWS2002_ROTTMPT50_4822,RWS-boxcore historie,OFFSHORE_OV,6.308686,53.953177,RWS2002_ROTTMPT50,BS,"Essink, 1991",Box-corer,09-04-02,06:10:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",09-04-02,06:10:00,2,09-04-02,2,,0.88677,,0,POINT (6.308686 53.95317703703138)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_51ba,RWS2002_TERSLG30_4937,RWS-boxcore historie,OFFSHORE_OV,4.939617,53.612726,RWS2002_TERSLG30,BS,"Essink, 1991",Box-corer,21-03-02,09:43:00,1,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",21-03-02,09:43:00,1,21-03-02,1,,0.76831,,0,POINT (4.939617 53.61272603744301)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_51cc,RWS2002_TERSLG4_4955,RWS-boxcore historie,NZKUSTZONE,5.149228,53.414536,RWS2002_TERSLG4,BS,"Essink, 1991",Box-corer,03-04-02,07:08:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",03-04-02,07:08:00,2,03-04-02,2,,0.76323,,0,POINT (5.149227999999999 53.41453603767681)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_521a,RWS2002_VOORDTA5_5044,RWS-boxcore historie,VOORDELTA,3.917852,51.921419,RWS2002_VOORDTA5,BS,"Essink, 1991",Box-corer,11-03-02,14:00:00,1,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",11-03-02,14:00:00,1,11-03-02,1,,0.13031,,0,POINT (3.917852000000001 51.92141903929253)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_5235,RWS2002_WADDKT02_5071,RWS-boxcore historie,KUSTZONE_OV,5.825629,53.610383,RWS2002_WADDKT02,BS,"Essink, 1991",Box-corer,03-04-02,11:00:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",03-04-02,11:00:00,2,03-04-02,2,,9.67492,,0,POINT (5.825629000000001 53.610383037445786)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_524f,RWS2002_WADDKT03_5098,RWS-boxcore historie,NZKUSTZONE,5.996746,53.542049,RWS2002_WADDKT03,BS,"Essink, 1991",Box-corer,03-04-02,12:20:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",03-04-02,12:20:00,2,03-04-02,2,,0.49246,,0,POINT (5.996746 53.54204903752688)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_527a,RWS2002_WADDKT05_5141,RWS-boxcore historie,NZKUSTZONE,4.68756,53.05563,RWS2002_WADDKT05,BS,"Essink, 1991",Box-corer,02-04-02,20:10:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",02-04-02,20:10:00,2,02-04-02,2,,4.44738,,0,POINT (4.6875599999999995 53.05563003808901)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_5292,RWS2002_WADDKT06_5165,RWS-boxcore historie,NZKUSTZONE,6.184807,53.537606,RWS2002_WADDKT06,BS,"Essink, 1991",Box-corer,03-04-02,14:20:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",03-04-02,14:20:00,2,03-04-02,2,,0.38077,,0,POINT (6.184807 53.53760603753212)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_5300,RWS2003_BREEVTN03_2475,RWS-boxcore historie,OFFSHORE_OV,4.440884,53.187021,RWS2003_BREEVTN03,BS,"Essink, 1991",Box-corer,10-04-03,14:31:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",10-04-03,14:31:00,2,10-04-03,2,,7.04338,,0,POINT (4.440884 53.18702103793979)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_5343,RWS2003_BREEVTN06_2542,RWS-boxcore historie,OFFSHORE_OV,4.229223,52.821451,RWS2003_BREEVTN06,BS,"Essink, 1991",Box-corer,28-03-03,07:21:00,1,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",28-03-03,07:21:00,1,28-03-03,1,,5e-05,,0,POINT (4.229222999999999 52.82145103835005)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_535c,RWS2003_BREEVTN07_2567,RWS-boxcore historie,OFFSHORE_OV,3.840326,52.760333,RWS2003_BREEVTN07,BS,"Essink, 1991",Box-corer,31-03-03,16:11:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",31-03-03,16:11:00,2,31-03-03,2,,9.636,,0,POINT (3.8403260000000006 52.760333038417116)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_54d2,RWS2003_DOGGBK03_2937,RWS-boxcore historie,DOGGBANK,3.498598,55.249329,RWS2003_DOGGBK03,BS,"Essink, 1991",Box-corer,15-04-03,17:10:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",15-04-03,17:10:00,2,15-04-03,2,,1.48585,,0,POINT (3.4985979999999994 55.24932903535535)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_5602,RWS2003_FRIESFT06_3238,RWS-boxcore historie,OESTERGR_OV,5.898668,54.188181,RWS2003_FRIESFT06,BS,"Essink, 1991",Box-corer,17-04-03,09:55:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",17-04-03,09:55:00,2,17-04-03,2,,1.59246,,0,POINT (5.898668000000001 54.18818103674008)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_56fe,RWS2003_FRIESFT15_3490,RWS-boxcore historie,FRIESEFR,4.373651,53.482585,RWS2003_FRIESFT15,BS,"Essink, 1991",Box-corer,10-04-03,12:21:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",10-04-03,12:21:00,2,10-04-03,2,,3.47092,,0,POINT (4.373651000000001 53.48258503759703)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_5750,RWS2003_HOLLSKT02_3572,RWS-boxcore historie,NZKUSTZONE,4.665344,52.832567,RWS2003_HOLLSKT02,BS,"Essink, 1991",Box-corer,18-04-03,07:35:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",18-04-03,07:35:00,2,18-04-03,2,,0.506,,0,POINT (4.665343999999999 52.83256703833777)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_57c0,RWS2003_NOORDWK50_3683,RWS-boxcore historie,OFFSHORE_OV,3.785333,52.480046,RWS2003_NOORDWK50,BS,"Essink, 1991",Box-corer,26-03-03,08:30:00,1,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",26-03-03,08:30:00,1,26-03-03,1,,0.00169,,0,POINT (3.785333000000001 52.48004603871905)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_585a,RWS2003_OESTGDN04_3836,RWS-boxcore historie,OESTERGR_OV,4.378592,55.30598,RWS2003_OESTGDN04,BS,"Essink, 1991",Box-corer,16-04-03,07:25:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",16-04-03,07:25:00,2,16-04-03,2,,3.37108,,0,POINT (4.378592 55.30598003527838)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_5a73,RWS2003_OESTGDN21_4361,RWS-boxcore historie,OESTERGR_OV,4.998618,54.99931,RWS2003_OESTGDN21,BS,"Essink, 1991",Box-corer,16-04-03,13:20:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",16-04-03,13:20:00,2,16-04-03,2,,0.34015,,0,POINT (4.998618 54.999310035691444)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_5b18,RWS2003_ROTTMPT70_4524,RWS-boxcore historie,OESTERGR_OV,6.212845,54.117348,RWS2003_ROTTMPT70,BS,"Essink, 1991",Box-corer,17-04-03,11:00:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",17-04-03,11:00:00,2,17-04-03,2,,1.68723,,0,POINT (6.2128450000000015 54.1173480368285)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_5b90,RWS2003_TERSLG4_4641,RWS-boxcore historie,NZKUSTZONE,5.149228,53.414536,RWS2003_TERSLG4,BS,"Essink, 1991",Box-corer,01-04-03,10:35:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",01-04-03,10:35:00,2,01-04-03,2,,8.31938,,0,POINT (5.149227999999999 53.41453603767681)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_5bc8,RWS2003_VOORDTA4_4697,RWS-boxcore historie,VOORDELTA,3.81202,51.789747,RWS2003_VOORDTA4,BS,"Essink, 1991",Box-corer,04-09-03,07:10:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",04-09-03,07:10:00,2,04-09-03,2,,0.79031,,0,POINT (3.812020000000001 51.789747039422096)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_5be1,RWS2003_VOORDTA5_4722,RWS-boxcore historie,VOORDELTA,3.917852,51.921419,RWS2003_VOORDTA5,BS,"Essink, 1991",Box-corer,25-03-03,12:30:00,1,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",25-03-03,12:30:00,1,25-03-03,1,,8.51908,,0,POINT (3.917852000000001 51.92141903929253)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_5c38,RWS2003_WADDKT05_4808,RWS-boxcore historie,NZKUSTZONE,4.68756,53.05563,RWS2003_WADDKT05,BS,"Essink, 1991",Box-corer,18-04-03,05:50:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",18-04-03,05:50:00,2,18-04-03,2,,64.35,,0,POINT (4.6875599999999995 53.05563003808901)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_5c50,RWS2003_WADDKT06_4830,RWS-boxcore historie,NZKUSTZONE,6.184807,53.537606,RWS2003_WADDKT06,BS,"Essink, 1991",Box-corer,23-04-03,06:45:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",23-04-03,06:45:00,2,23-04-03,2,,0.88677,,0,POINT (6.184807 53.53760603753212)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_5c80,RWS2003_WALCRN70_4879,RWS-boxcore historie,OFFSHORE_OV,2.677821,51.956129,RWS2003_WALCRN70,BS,"Essink, 1991",Box-corer,24-03-03,19:10:00,1,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",24-03-03,19:10:00,1,24-03-03,1,,0.00338,,0,POINT (2.677821 51.956129039258016)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_5cfc,RWS2004_BREEVTN08_2511,RWS-boxcore historie,OFFSHORE_OV,3.520302,53.282569,RWS2004_BREEVTN08,BS,"Essink, 1991",Box-corer,18-03-04,19:35:00,1,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",18-03-04,19:35:00,1,18-03-04,1,,0.59908,,0,POINT (3.5203019999999996 53.28256903783005)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_5e36,RWS2004_BREEVTN34_2820,RWS-boxcore historie,OESTERGR_OV,3.494739,53.499243,RWS2004_BREEVTN34,BS,"Essink, 1991",Box-corer,30-03-04,09:10:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",30-03-04,09:10:00,2,30-03-04,2,,0.97646,,0,POINT (3.4947389999999996 53.49924303757741)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_5e54,RWS2004_DOGGBK02_2850,RWS-boxcore historie,DOGGBANK,3.640244,55.165967,RWS2004_DOGGBK02,BS,"Essink, 1991",Box-corer,24-03-04,09:15:00,1,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",24-03-04,09:15:00,1,24-03-04,1,,0.29954,,0,POINT (3.6402440000000005 55.16596703546806)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_5f04,RWS2004_FRIESFT02_3026,RWS-boxcore historie,FRIESEFR,4.915315,54.01872,RWS2004_FRIESFT02,BS,"Essink, 1991",Box-corer,31-03-04,18:25:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",31-03-04,18:25:00,2,31-03-04,2,,0.27754,,0,POINT (4.915314999999999 54.01872003695074)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_5f97,RWS2004_FRIESFT07_3171,RWS-boxcore historie,FRIESEFR,4.790314,53.921493,RWS2004_FRIESFT07,BS,"Essink, 1991",Box-corer,01-04-04,08:55:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",01-04-04,08:55:00,2,01-04-04,2,,0.77846,,0,POINT (4.790314 53.921493037070206)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_6032,RWS2004_FRIESFT12_3326,RWS-boxcore historie,OESTERGR_OV,3.87196,53.85787,RWS2004_FRIESFT12,BS,"Essink, 1991",Box-corer,30-03-04,14:30:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",30-03-04,14:30:00,2,30-03-04,2,,0.90877,,0,POINT (3.8719599999999996 53.85787003714788)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_6067,RWS2004_FRIESFT14_3379,RWS-boxcore historie,OFFSHORE_OV,4.956993,53.665931,RWS2004_FRIESFT14,BS,"Essink, 1991",Box-corer,01-04-04,12:30:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",01-04-04,12:30:00,2,01-04-04,2,,0.97815,,0,POINT (4.956992999999999 53.66593103737951)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_6082,RWS2004_FRIESFT15_3406,RWS-boxcore historie,FRIESEFR,4.373651,53.482585,RWS2004_FRIESFT15,BS,"Essink, 1991",Box-corer,01-04-04,17:00:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",01-04-04,17:00:00,2,01-04-04,2,,4.94492,,0,POINT (4.373651000000001 53.48258503759703)
ihm_rwsbenthos_tijdelijk.fid--5dd5cefa_16df2d67d3e_60fa,RWS2004_HOLLSKT04_3526,RWS-boxcore historie,KUSTZONE_OV,4.498954,52.749507,RWS2004_HOLLSKT04,BS,"Essink, 1991",Box-corer,02-04-04,07:00:00,2,EPSG4258,MASSPOPVTE,Biotaxon,Lanice conchilega,g/m2,adg,,"Essink, 1991",02-04-04,07:00:00,2,02-04-04,2,,0.84785,,0,POINT (4.4989539999999995 52.74950703842895)
